img_id,valid_inst,hard_inst,hard_ratio,is_complex,point_only_miou,adaptive_miou,improvement
2009_002191,2,2,1.0,True,0.3797,0.5746,0.1949
2010_003828,2,1,0.5,True,0.4178,0.417,-0.0008
2009_003966,9,6,0.6667,True,0.1812,0.264,0.0828
2008_002344,4,0,0.0,False,0.1581,0.113,-0.0451
2008_002502,5,1,0.2,False,0.1066,0.1393,0.0327
2010_004943,1,1,1.0,True,0.6526,0.4609,-0.1917
2008_002250,8,7,0.875,True,0.5053,0.5438,0.0385
2008_001792,2,0,0.0,False,0.4792,0.4835,0.0043
2012_001362,1,0,0.0,False,0.0425,0.0426,0.0001
2012_003068,1,1,1.0,True,0.5946,0.6046,0.01
2009_000120,1,0,0.0,False,0.0002,0.0001,-0.0001
2008_002231,3,2,0.6667,True,0.2281,0.307,0.0789
2012_003392,1,0,0.0,False,0.0775,0.0729,-0.0046
2008_003780,6,3,0.5,True,0.2367,0.3362,0.0995
2009_001911,3,0,0.0,False,0.2424,0.3239,0.0815
2008_003020,4,0,0.0,False,0.2753,0.2288,-0.0465
2008_002972,1,1,1.0,True,0.6579,0.6922,0.0343
2009_005094,2,2,1.0,True,0.3638,0.38,0.0162
2011_003764,4,3,0.75,True,0.2565,0.3479,0.0914
2008_006392,5,3,0.6,True,0.331,0.398,0.067
2010_000495,1,0,0.0,False,0.0497,0.0508,0.0011
2008_001104,5,2,0.4,False,0.3818,0.3478,-0.034
2008_003904,5,2,0.4,False,0.3658,0.3863,0.0205
2011_004772,4,1,0.25,False,0.2637,0.1468,-0.1169
2010_005110,5,3,0.6,True,0.1039,0.2912,0.1873
2010_001455,5,1,0.2,False,0.2432,0.2276,-0.0156
2009_003095,1,0,0.0,False,0.0463,0.0447,-0.0016
2010_004971,2,0,0.0,False,0.4125,0.4136,0.0011
2010_000009,1,0,0.0,False,0.656,0.6617,0.0057
2010_001776,2,0,0.0,False,0.384,0.361,-0.023
2011_003240,2,2,1.0,True,0.3916,0.366,-0.0256
2008_007131,1,0,0.0,False,0.5881,0.5932,0.0051
2010_004053,1,0,0.0,False,0.363,0.3419,-0.0211
2012_000049,2,1,0.5,True,0.2215,0.3915,0.17
2010_005100,1,0,0.0,False,0.0051,0.0051,0.0
2008_003283,3,0,0.0,False,0.2874,0.2985,0.0111
2007_004380,3,3,1.0,True,0.0282,0.2012,0.173
2012_000126,1,0,0.0,False,0.2188,0.218,-0.0008
2008_005085,1,0,0.0,False,0.2798,0.005,-0.2748
2008_003330,1,0,0.0,False,0.2985,0.2972,-0.0013
2009_003664,1,0,0.0,False,0.564,0.5316,-0.0324
2012_003251,1,0,0.0,False,0.6003,0.5998,-0.0005
2008_007236,1,0,0.0,False,0.6008,0.5936,-0.0072
2011_000226,7,6,0.8571,True,0.0522,0.1221,0.0699
2008_003037,1,1,1.0,True,0.2151,0.6,0.3849
2010_000377,1,0,0.0,False,0.576,0.5651,-0.0109
2011_001546,1,1,1.0,True,0.8714,0.4876,-0.3838
2010_003054,3,0,0.0,False,0.1979,0.3242,0.1263
2009_000137,2,1,0.5,True,0.0114,0.342,0.3306
2011_005983,1,0,0.0,False,0.1954,0.4119,0.2165
2010_004208,2,2,1.0,True,0.4253,0.4132,-0.0121
2007_003668,1,0,0.0,False,0.0502,0.0459,-0.0043
2010_004017,3,0,0.0,False,0.26,0.3775,0.1175
2008_005324,4,3,0.75,True,0.3517,0.4013,0.0496
2008_007356,3,2,0.6667,True,0.7018,0.6901,-0.0117
2010_001705,1,0,0.0,False,0.5122,0.5174,0.0052
2008_006099,1,0,0.0,False,0.6538,0.7037,0.0499
2008_005550,1,0,0.0,False,0.4771,0.5842,0.1071
2008_008770,3,3,1.0,True,0.0046,0.1615,0.1569
2010_002223,2,1,0.5,True,0.5631,0.7152,0.1521
2010_002838,2,2,1.0,True,0.3178,0.8863,0.5685
2009_003509,1,1,1.0,True,0.7066,0.6997,-0.0069
2010_006845,1,0,0.0,False,0.024,0.0238,-0.0002
2009_003064,1,0,0.0,False,0.0019,0.0019,0.0
2010_001675,1,0,0.0,False,0.8935,0.8947,0.0012
2012_003217,1,0,0.0,False,0.1801,0.1804,0.0003
2012_002142,1,0,0.0,False,0.1586,0.159,0.0004
2010_000814,2,2,1.0,True,0.8975,0.593,-0.3045
2008_001829,1,1,1.0,True,0.8345,0.8463,0.0118
2008_004579,3,0,0.0,False,0.3439,0.3895,0.0456
2010_002512,2,2,1.0,True,0.477,0.6606,0.1836
2008_001402,2,2,1.0,True,0.0468,0.2207,0.1739
2007_001724,1,1,1.0,True,0.8809,0.9113,0.0304
2010_006217,2,1,0.5,True,0.2242,0.2315,0.0073
2008_007129,2,1,0.5,True,0.5435,0.203,-0.3405
2010_001539,1,0,0.0,False,0.0141,0.0141,0.0
2009_000398,3,2,0.6667,True,0.3592,0.451,0.0918
2011_006256,5,0,0.0,False,0.3146,0.3159,0.0013
2011_005339,1,0,0.0,False,0.1685,0.169,0.0005
2007_004500,2,2,1.0,True,0.8207,0.4329,-0.3878
2008_003466,2,1,0.5,True,0.2087,0.3237,0.115
2008_008337,2,0,0.0,False,0.1107,0.1023,-0.0084
2008_000854,2,0,0.0,False,0.0489,0.0486,-0.0003
2011_001532,2,0,0.0,False,0.1015,0.1021,0.0006
2008_008276,2,2,1.0,True,0.295,0.3304,0.0354
2011_005493,3,0,0.0,False,0.1447,0.1495,0.0048
2008_006904,5,1,0.2,False,0.6195,0.5334,-0.0861
2008_001238,3,0,0.0,False,0.3371,0.4088,0.0717
2010_004586,2,1,0.5,True,0.452,0.4625,0.0105
2011_001220,2,1,0.5,True,0.3229,0.2673,-0.0556
2008_001113,2,0,0.0,False,0.555,0.3094,-0.2456
2011_000780,2,2,1.0,True,0.8211,0.482,-0.3391
2009_003469,1,0,0.0,False,0.0024,0.0025,0.0001
2010_000716,1,0,0.0,False,0.6566,0.0153,-0.6413
2008_005269,4,3,0.75,True,0.6573,0.5442,-0.1131
2011_000514,1,0,0.0,False,0.0124,0.0122,-0.0002
2011_003960,2,1,0.5,True,0.3889,0.3467,-0.0422
2008_008701,4,2,0.5,True,0.5461,0.6076,0.0615
2009_005190,1,1,1.0,True,0.8138,0.849,0.0352
2009_000453,3,0,0.0,False,0.0482,0.0485,0.0003
2009_001360,1,0,0.0,False,0.1116,0.111,-0.0006
2011_004332,1,0,0.0,False,0.1043,0.0321,-0.0722
2008_000115,2,0,0.0,False,0.4787,0.4606,-0.0181
2009_001505,4,3,0.75,True,0.7477,0.7299,-0.0178
2010_006124,1,0,0.0,False,0.4898,0.1581,-0.3317
2011_004299,2,1,0.5,True,0.1189,0.2943,0.1754
2010_000630,2,0,0.0,False,0.029,0.0293,0.0003
2010_001852,2,2,1.0,True,0.6878,0.6456,-0.0422
2009_000229,1,0,0.0,False,0.2403,0.2406,0.0003
2008_005626,5,1,0.2,False,0.3114,0.3455,0.0341
2011_002380,1,1,1.0,True,0.1898,0.2948,0.105
2008_001036,2,0,0.0,False,0.2499,0.4608,0.2109
2012_000982,2,1,0.5,True,0.3172,0.4522,0.135
2009_004249,2,2,1.0,True,0.9345,0.9231,-0.0114
2009_002798,2,1,0.5,True,0.0112,0.1975,0.1863
2012_000281,1,1,1.0,True,0.1752,0.5957,0.4205
2011_000267,1,0,0.0,False,0.0005,0.0005,0.0
