img_id,img_name,img_width,img_height,total_valid_instances,hard_instance_num,hard_instance_ratio,is_complex_image,complex_label,Point-only_mIoU,Box-only_mIoU,Point+Box(Adaptive)_mIoU
213445,000000213445.jpg,408,500,14,4,0.2857,False,简单图片,0.5154,0.7601,0.7674
514914,000000514914.jpg,640,366,3,1,0.3333,False,简单图片,0.67,0.705,0.6956
336628,000000336628.jpg,428,640,7,2,0.2857,False,简单图片,0.3901,0.7928,0.7585
326128,000000326128.jpg,480,640,3,2,0.6667,True,复杂图片,0.3274,0.4794,0.5554
545100,000000545100.jpg,640,426,10,5,0.5,True,复杂图片,0.7077,0.7977,0.771
550797,000000550797.jpg,361,640,1,0,0.0,False,简单图片,0.0284,0.9287,0.9269
42102,000000042102.jpg,246,640,3,2,0.6667,True,复杂图片,0.5033,0.7459,0.7394
545007,000000545007.jpg,425,640,3,1,0.3333,False,简单图片,0.8541,0.9421,0.9414
98716,000000098716.jpg,640,359,5,2,0.4,False,简单图片,0.7603,0.826,0.8336
110282,000000110282.jpg,640,418,1,0,0.0,False,简单图片,0.018,0.9428,0.945
291551,000000291551.jpg,428,640,7,5,0.7143,True,复杂图片,0.4394,0.6958,0.6757
119445,000000119445.jpg,640,426,6,4,0.6667,True,复杂图片,0.5945,0.8321,0.8088
398742,000000398742.jpg,427,640,8,2,0.25,False,简单图片,0.7456,0.8143,0.8716
262440,000000262440.jpg,400,640,3,1,0.3333,False,简单图片,0.6617,0.8421,0.8372
235778,000000235778.jpg,640,337,12,6,0.5,True,复杂图片,0.4933,0.8119,0.8361
72813,000000072813.jpg,640,480,3,0,0.0,False,简单图片,0.7734,0.9269,0.9351
38829,000000038829.jpg,640,427,12,8,0.6667,True,复杂图片,0.3068,0.7698,0.8075
242411,000000242411.jpg,424,640,9,2,0.2222,False,简单图片,0.5528,0.8725,0.8753
51314,000000051314.jpg,640,480,2,1,0.5,True,复杂图片,0.4623,0.8066,0.8059
86483,000000086483.jpg,500,375,2,2,1.0,True,复杂图片,0.789,0.8386,0.8506
206135,000000206135.jpg,332,500,5,3,0.6,True,复杂图片,0.8648,0.8776,0.8754
239347,000000239347.jpg,640,480,4,2,0.5,True,复杂图片,0.2791,0.6771,0.5895
12667,000000012667.jpg,640,480,1,0,0.0,False,简单图片,0.9125,0.939,0.9404
